Summer,Year.Month,Site,Species,average.count
summer-2007,2007.Jun,A,HARBOUR,14.1
summer-2007,2007.Jun,B,HARBOUR,0.3
summer-2007,2007.Jun,C,HARBOUR,14.7
summer-2007,2007.Jun,Spit,HARBOUR,0.1
summer-2007,2007.Jun,Wall,HARBOUR,0.7
summer-2007,2007.Jun,D,HARBOUR,0
summer-2007,2007.Jun,E,HARBOUR,0
summer-2007,2007.Jun,A,GREY,0.3
summer-2007,2007.Jun,B,GREY,0
summer-2007,2007.Jun,C,GREY,2.6
summer-2007,2007.Jun,Spit,GREY,1.2
summer-2007,2007.Jun,Wall,GREY,0.9
summer-2007,2007.Jun,D,GREY,0
summer-2007,2007.Jun,E,GREY,0
summer-2007,2007.Jul,A,HARBOUR,15.8
summer-2007,2007.Jul,B,HARBOUR,5.8
summer-2007,2007.Jul,C,HARBOUR,10.8
summer-2007,2007.Jul,Spit,HARBOUR,3.1
summer-2007,2007.Jul,Wall,HARBOUR,0.7
summer-2007,2007.Jul,D,HARBOUR,0
summer-2007,2007.Jul,E,HARBOUR,0
summer-2007,2007.Jul,A,GREY,0
summer-2007,2007.Jul,B,GREY,0.2
summer-2007,2007.Jul,C,GREY,0.2
summer-2007,2007.Jul,Spit,GREY,2.3
summer-2007,2007.Jul,Wall,GREY,2.9
summer-2007,2007.Jul,D,GREY,0.5
summer-2007,2007.Jul,E,GREY,0
summer-2007,2007.Aug,A,HARBOUR,22.3
summer-2007,2007.Aug,B,HARBOUR,1.7
summer-2007,2007.Aug,C,HARBOUR,6.8
summer-2007,2007.Aug,Spit,HARBOUR,12
summer-2007,2007.Aug,Wall,HARBOUR,1
summer-2007,2007.Aug,D,HARBOUR,0.6
summer-2007,2007.Aug,E,HARBOUR,0
summer-2007,2007.Aug,A,GREY,0.2
summer-2007,2007.Aug,B,GREY,0.2
summer-2007,2007.Aug,C,GREY,0.4
summer-2007,2007.Aug,Spit,GREY,6.4
summer-2007,2007.Aug,Wall,GREY,0.6
summer-2007,2007.Aug,D,GREY,1.2
summer-2007,2007.Aug,E,GREY,0
summer-2008,2008.Jun,A,HARBOUR,17.8
summer-2008,2008.Jun,B,HARBOUR,0.6
summer-2008,2008.Jun,C,HARBOUR,2.4
summer-2008,2008.Jun,Spit,HARBOUR,1.3
summer-2008,2008.Jun,Wall,HARBOUR,9.1
summer-2008,2008.Jun,D,HARBOUR,0.1
summer-2008,2008.Jun,E,HARBOUR,0.8
summer-2008,2008.Jun,A,GREY,1
summer-2008,2008.Jun,B,GREY,0.2
summer-2008,2008.Jun,C,GREY,1.2
summer-2008,2008.Jun,Spit,GREY,0.8
summer-2008,2008.Jun,Wall,GREY,1.8
summer-2008,2008.Jun,D,GREY,3.1
summer-2008,2008.Jun,E,GREY,0
summer-2008,2008.Jul,A,HARBOUR,21.6
summer-2008,2008.Jul,B,HARBOUR,0.4
summer-2008,2008.Jul,C,HARBOUR,0.7
summer-2008,2008.Jul,Spit,HARBOUR,1.1
summer-2008,2008.Jul,Wall,HARBOUR,17
summer-2008,2008.Jul,D,HARBOUR,0
summer-2008,2008.Jul,E,HARBOUR,2.9
summer-2008,2008.Jul,A,GREY,1.1
summer-2008,2008.Jul,B,GREY,0
summer-2008,2008.Jul,C,GREY,0.4
summer-2008,2008.Jul,Spit,GREY,2.7
summer-2008,2008.Jul,Wall,GREY,1
summer-2008,2008.Jul,D,GREY,0.7
summer-2008,2008.Jul,E,GREY,0
summer-2008,2008.Aug,A,HARBOUR,19.6
summer-2008,2008.Aug,B,HARBOUR,0.2
summer-2008,2008.Aug,C,HARBOUR,0.2
summer-2008,2008.Aug,Spit,HARBOUR,14.1
summer-2008,2008.Aug,Wall,HARBOUR,15.2
summer-2008,2008.Aug,D,HARBOUR,0.1
summer-2008,2008.Aug,E,HARBOUR,0.1
summer-2008,2008.Aug,A,GREY,0.9
summer-2008,2008.Aug,B,GREY,0.1
summer-2008,2008.Aug,C,GREY,0
summer-2008,2008.Aug,Spit,GREY,8.2
summer-2008,2008.Aug,Wall,GREY,0.5
summer-2008,2008.Aug,D,GREY,1.1
summer-2008,2008.Aug,E,GREY,0
summer-2008,2008.Sep,A,HARBOUR,14.9
summer-2008,2008.Sep,B,HARBOUR,0
summer-2008,2008.Sep,C,HARBOUR,1.1
summer-2008,2008.Sep,Spit,HARBOUR,17.3
summer-2008,2008.Sep,Wall,HARBOUR,4.2
summer-2008,2008.Sep,D,HARBOUR,0
summer-2008,2008.Sep,E,HARBOUR,0.3
summer-2008,2008.Sep,A,GREY,1.7
summer-2008,2008.Sep,B,GREY,0
summer-2008,2008.Sep,C,GREY,0.3
summer-2008,2008.Sep,Spit,GREY,4.3
summer-2008,2008.Sep,Wall,GREY,0.4
summer-2008,2008.Sep,D,GREY,1.3
summer-2008,2008.Sep,E,GREY,0.2
summer-2009,2009.Jun,A,HARBOUR,16.2
summer-2009,2009.Jun,B,HARBOUR,1.2
summer-2009,2009.Jun,C,HARBOUR,3
summer-2009,2009.Jun,Spit,HARBOUR,1.8
summer-2009,2009.Jun,Wall,HARBOUR,17.5
summer-2009,2009.Jun,D,HARBOUR,0.1
summer-2009,2009.Jun,E,HARBOUR,5.2
summer-2009,2009.Jun,A,GREY,0.7
summer-2009,2009.Jun,B,GREY,0
summer-2009,2009.Jun,C,GREY,0.7
summer-2009,2009.Jun,Spit,GREY,1.9
summer-2009,2009.Jun,Wall,GREY,2.75
summer-2009,2009.Jun,D,GREY,0
summer-2009,2009.Jun,E,GREY,0.1
summer-2009,2009.Jul,A,HARBOUR,20.3
summer-2009,2009.Jul,B,HARBOUR,1
summer-2009,2009.Jul,C,HARBOUR,0.4
summer-2009,2009.Jul,Spit,HARBOUR,4.1
summer-2009,2009.Jul,Wall,HARBOUR,15.3
summer-2009,2009.Jul,D,HARBOUR,0.7
summer-2009,2009.Jul,E,HARBOUR,8.2
summer-2009,2009.Jul,A,GREY,1.4
summer-2009,2009.Jul,B,GREY,0
summer-2009,2009.Jul,C,GREY,0.6
summer-2009,2009.Jul,Spit,GREY,4.7
summer-2009,2009.Jul,Wall,GREY,1.5
summer-2009,2009.Jul,D,GREY,0.8
summer-2009,2009.Jul,E,GREY,0.9
summer-2009,2009.Aug,A,HARBOUR,26.8
summer-2009,2009.Aug,B,HARBOUR,0.4
summer-2009,2009.Aug,C,HARBOUR,1.4
summer-2009,2009.Aug,Spit,HARBOUR,12.9
summer-2009,2009.Aug,Wall,HARBOUR,11
summer-2009,2009.Aug,D,HARBOUR,0
summer-2009,2009.Aug,E,HARBOUR,5.1
summer-2009,2009.Aug,A,GREY,0.7
summer-2009,2009.Aug,B,GREY,0.2
summer-2009,2009.Aug,C,GREY,2.1
summer-2009,2009.Aug,Spit,GREY,8.8
summer-2009,2009.Aug,Wall,GREY,1.2
summer-2009,2009.Aug,D,GREY,0.03
summer-2009,2009.Aug,E,GREY,1.9
summer-2009,2009.Sep,A,HARBOUR,23.2
summer-2009,2009.Sep,B,HARBOUR,5.1
summer-2009,2009.Sep,C,HARBOUR,4.3
summer-2009,2009.Sep,Spit,HARBOUR,20.5
summer-2009,2009.Sep,Wall,HARBOUR,6.7
summer-2009,2009.Sep,D,HARBOUR,0
summer-2009,2009.Sep,E,HARBOUR,1.5
summer-2009,2009.Sep,A,GREY,0.5
summer-2009,2009.Sep,B,GREY,0.2
summer-2009,2009.Sep,C,GREY,0.8
summer-2009,2009.Sep,Spit,GREY,9.5
summer-2009,2009.Sep,Wall,GREY,1.2
summer-2009,2009.Sep,D,GREY,0.9
summer-2009,2009.Sep,E,GREY,0.2
summer-2010,2010.Jun,A,HARBOUR,16.4
summer-2010,2010.Jun,B,HARBOUR,0.7
summer-2010,2010.Jun,C,HARBOUR,5.7
summer-2010,2010.Jun,Spit,HARBOUR,3.2
summer-2010,2010.Jun,Wall,HARBOUR,22.8
summer-2010,2010.Jun,D,HARBOUR,0
summer-2010,2010.Jun,E,HARBOUR,6.9
summer-2010,2010.Jun,A,GREY,0.6
summer-2010,2010.Jun,B,GREY,0.3
summer-2010,2010.Jun,C,GREY,5.1
summer-2010,2010.Jun,Spit,GREY,5.6
summer-2010,2010.Jun,Wall,GREY,2.5
summer-2010,2010.Jun,D,GREY,1.6
